Solving 9×9 grid using CONSTRAINT PROGRAMMING
Method: OR-Tools CP-SAT (guaranteed optimal)

Testing config 611... → 16.0 tiles
Testing config 612... → 15.0 tiles
Testing config 613... → 16.0 tiles
Testing config 614... → 16.0 tiles
Testing config 615... → 15.0 tiles
Testing config 616... → 16.0 tiles
Testing config 617... → 16.0 tiles
Testing config 618... → 16.0 tiles
Testing config 619... → 16.0 tiles
Testing config 620... → 16.0 tiles
Testing config 621... → 16.0 tiles
Testing config 622... → 16.0 tiles
Testing config 623... → 16.0 tiles
Testing config 624... → 16.0 tiles
Testing config 625... → 16.0 tiles
Testing config 626... → 16.0 tiles
Testing config 627... → 16.0 tiles
Testing config 628... → 16.0 tiles
Testing config 629... → 16.0 tiles
Testing config 630... → 16.0 tiles
Testing config 631... → 16.0 tiles
Testing config 632... → 16.0 tiles
Testing config 633... → 16.0 tiles
Testing config 634... → 16.0 tiles
Testing config 635... → 16.0 tiles
Testing config 636... → 15.0 tiles
Testing config 637... → 16.0 tiles
Testing config 638... → 15.0 tiles
Testing config 639... → 16.0 tiles
Testing config 640... → 16.0 tiles
Testing config 641... → 16.0 tiles
Testing config 642... → 15.0 tiles
Testing config 643... → 16.0 tiles
Testing config 644... → 15.0 tiles
Testing config 645... → 15.0 tiles
Testing config 646... → 16.0 tiles
Testing config 647... → 16.0 tiles
Testing config 648... → 15.0 tiles
Testing config 649... → 16.0 tiles
Testing config 650... → 16.0 tiles
Testing config 651... → 16.0 tiles
Testing config 652... → 15.0 tiles
Testing config 653... → 15.0 tiles
Testing config 654... → 16.0 tiles
Testing config 655... → 15.0 tiles
Testing config 656... → 16.0 tiles
Testing config 657... → 16.0 tiles
Testing config 658... → 16.0 tiles
Testing config 659... → 16.0 tiles
Testing config 660... → 15.0 tiles
Testing config 661... → 16.0 tiles
Testing config 662... → 16.0 tiles
Testing config 663... → 15.0 tiles
Testing config 664... → 16.0 tiles
Testing config 665... → 16.0 tiles
Testing config 666... → 16.0 tiles
Testing config 667... → 16.0 tiles
Testing config 668... → 15.0 tiles
Testing config 669... → 16.0 tiles
Testing config 670... → 15.0 tiles
Testing config 671... → 15.0 tiles
Testing config 672... → 16.0 tiles
Testing config 673... → 16.0 tiles
Testing config 674... → 16.0 tiles
Testing config 675... → 15.0 tiles
Testing config 676... → 16.0 tiles
Testing config 677... → 16.0 tiles
Testing config 678... → 15.0 tiles
Testing config 679... → 15.0 tiles
Testing config 680... → 16.0 tiles
Testing config 681... → 15.0 tiles
Testing config 682... → 16.0 tiles
Testing config 683... → 16.0 tiles
Testing config 684... → 16.0 tiles
Testing config 685... → 15.0 tiles
Testing config 686... → 16.0 tiles
Testing config 687... → 15.0 tiles
Testing config 688... → 16.0 tiles
Testing config 689... → 16.0 tiles
Testing config 690... → 16.0 tiles
Testing config 691... → 16.0 tiles
Testing config 692... → 16.0 tiles
Testing config 693... → 16.0 tiles
Testing config 694... → 16.0 tiles
Testing config 695... → 16.0 tiles
Testing config 696... → 16.0 tiles
Testing config 697... → 16.0 tiles
Testing config 698... → 16.0 tiles
Testing config 699... → 16.0 tiles
Testing config 700... → 16.0 tiles
Testing config 701... → 16.0 tiles
Testing config 702... → 16.0 tiles
Testing config 703... → 16.0 tiles
Testing config 704... → 16.0 tiles
Testing config 705... → 16.0 tiles
Testing config 706... → 16.0 tiles
Testing config 707... → 16.0 tiles
Testing config 708... → 15.0 tiles
Testing config 709... → 16.0 tiles
Testing config 710... → 16.0 tiles
Testing config 711... → 15.0 tiles
